"Month","Live births by months 1990","Live births by months 1991","Live births by months 1992","Live births by months 1993","Live births by months 1994","Live births by months 1995","Live births by months 1996","Live births by months 1997","Live births by months 1998","Live births by months 1999","Live births by months 2000","Live births by months 2001","Live births by months 2002","Live births by months 2003","Live births by months 2004","Live births by months 2005","Live births by months 2006","Live births by months 2007","Live births by months 2008","Live births by months 2009","Live births by months 2010","Live births by months 2011","Live births by months 2012","Live births by months 2013","Live births by months 2014","Live births by months 2015","Live births by months 2016","Live births by months 2017","Live births by months 2018","Live births by months 2019","Live births by months 2020","Live births by months 2021","Live births by months 2022"
"Janar",6077,6790,6215,5920,5630,5521,5195,4797,4390,4137,3820,4369,4142,3358,3588,3092,3191,2542,2773,3027,3028,2665,2939,2839,2837,2742,2517,2423,2468,2393,2316,2066,2277
"Shkurt",6488,6843,6366,5845,5825,5637,4908,4445,4095,3877,3548,3926,3561,3469,3174,2887,2621,2188,2408,2277,2387,2370,2507,2408,2491,2350,2274,2169,2029,1776,2006,1989,1867
"Mars",7720,7610,6713,6583,7153,6105,5585,4809,4547,4335,3983,4209,3643,3895,3221,2957,2815,2298,2603,2480,2594,2390,2636,2621,2674,2554,2372,2324,2160,2088,2029,2246,2070
"Prill",7555,7772,6306,5920,7666,6069,5571,4964,4781,4578,4265,4094,3516,3495,3073,2991,2733,2324,2620,2409,2464,2463,2574,2450,2708,2489,2269,2231,1970,2002,2070,2051,1763
"Maj",8130,7774,6019,5561,7572,6458,5797,5137,5046,4850,4516,4450,3694,4127,3645,3419,3268,2785,3160,3050,2819,2809,2881,2870,2955,2766,2456,2541,2275,2308,2280,2074,1850
"Qershor",7555,7023,6554,5344,7297,6531,6391,5544,5533,5343,4618,4678,3916,4189,3973,3245,3184,2834,3002,2929,2708,2966,3016,3062,3078,2736,2640,2711,2500,2345,2356,2194,1964
"Korrik",7473,7128,6690,5141,7139,6848,7116,5933,6014,5824,5166,5209,3663,4503,3996,3307,3183,3187,3388,3329,2922,3218,3385,3451,3519,2986,2999,2814,2842,2532,2580,2551,2149
"Gusht",7145,6347,6170,4768,5810,6826,6822,5896,6008,5830,4922,5196,3455,4060,3879,3586,2505,3130,3263,3127,2973,3214,3420,3258,3273,2733,2946,2827,2671,2534,2533,2477,2130
"Shtator",6981,5625,6094,4308,4222,6646,6255,5723,5773,5615,4647,5098,3870,4114,4458,4177,3033,3611,3760,3413,3402,3375,3452,3499,3537,2996,3141,2898,2700,2673,2894,2652,2276
"Tetor",6324,5153,5755,4795,4865,5932,5455,5297,5238,5094,4270,4744,4101,4058,3919,3795,2825,3287,3362,2942,3152,3191,3157,3429,3165,2923,2882,2803,2601,2548,2625,2411,2118
"Nentor",5257,4416,5008,5601,5269,4858,4587,4495,4372,4248,3697,4017,3833,3787,3183,3034,2436,2442,2906,2354,2601,2854,2722,2949,2776,2596,2580,2538,2266,2405,2303,2220,2063
"Dhjetor",5420,4881,5597,7057,3096,4498,4587,4612,4342,4219,3700,4225,4121,3957,2913,3122,2435,2535,3006,2778,3012,2770,2784,2914,2747,2844,2657,2590,2452,2957,2083,2280,2161
"Panjohur",0,0,1938,887,635,151,89,86,0,0,90,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",82125,77361,75425,67730,72179,72081,68358,61739,60139,57948,51242,54283,45515,47012,43022,39612,34229,33163,36251,34114,34061,34285,35473,35750,35760,32715,31733,30869,28934,28561,28075,27211,24688
